0.186593807,0.146860987,0.126692456
0.061566485,0.067264574,0.049967763
0.02003643,0.267797085,0.048355899
0.072204007,0.051709641,0.057382334
0.017704918,0.031670404,0.031592521
0.045391621,0.05198991,0.036750484
0.019307832,0.020459641,0
0.016684882,0.033352018,0
0.012823315,0.026205157,0.046421663
0,0.056193946,0.03997421
0.047431694,0.041619955,0.064474533
0.061056466,0.032511211,0.029658285
0.075992714,0,0.116054159
0,0,0.071566731
0.033296903,0.017797085,0
0,0,0
0.069435337,0.013873318,0.037395229
0.083351548,0,0
0,0,0
0.073442623,0,0
0,0.021160314,0
0.012167577,0,0.051257253
0.013770492,0,0
0.063169399,0,0
0,0.02816704,0.040941328
0.014571949,0,0
0,0,0
0,0,0
0,0.038256726,0
0,0,0.01579626
0,0,0
0,0,0
0,0,0.062540297
0,0,0
0,0,0.02063185
0,0.019058296,0
0,0,0
0,0,0.026434558
0,0.021020179,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.026112186
0,0.013032511,0
0,0,0
0,0,0
